ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
02,Alaska,AK,02013,Aleutians East Borough,02013000100,Census Tract 1; Aleutians East Borough; Alaska,6985.230948336366,3407,0,1089,86,899,88,805,169,106,58,141,28,508,137,1350,132,396,87,417,53,355,72,60,18,480,225,2871,154,39,19,75,26,46,24,225,49,1238,117,23.7,5.0,4.4,2.4,15.7,2.7,19.0,4.9,39.7,3.9,11.6,2.6,12.2,1.6,10.4,2.1,6.7,1.9,14.5,6.8,84.3,4.5,3.6,1.7,6.9,2.3,5.1,2.6,25.0,4.8,36.3,3.4,0.7657,0.3314,0.2414,0.9829,1.0,3.3214,0.7586,0.3771,0.0629,0.2514,0.6609,1.0,2.3523,0.4138,0.9257,0.9257,0.9257,0.5057,0.8103,0.569,0.8678,0.9886,3.7414,0.9483,10.3408,0.8506,0,0,0,1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,2969,380,62,172,133,405,125,676,196,1248,112,10,9,345,72,15,20,42.3,5.1,5.0,3.9,11.9,3.7,19.8,5.8,36.6,3.3,0.3,0.3,10.1,2.1,0.4,0.6
02,Alaska,AK,02016,Aleutians West Census Area,02016000100,Census Tract 1; Aleutians West Census Area; Alaska,3303.799300943044,877,148,459,63,173,50,181,71,7,8,25,14,50,39,153,45,83,26,146,50,125,62,4,12,23,39,602,163,11,12,2,3,3,4,56,20,261,11,26.1,8.6,1.3,1.6,14.5,6.9,7.5,5.0,22.1,8.3,9.5,2.2,16.6,4.8,18.0,8.9,2.3,6.9,2.7,4.6,68.6,14.5,2.4,2.6,0.4,0.6,1.8,2.3,32.4,12.5,29.8,5.2,0.8286,0.08,0.2069,0.6457,0.9429,2.7041,0.5632,0.24,0.1486,0.8571,0.1667,0.8229,2.2353,0.3448,0.8514,0.8514,0.8514,0.454,0.1897,0.1782,0.9138,0.9829,2.7186,0.5805,8.5094,0.5977,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,519,41,18,41,29,96,61,66,65,354,91,0,10,45,23,0,10,23.7,9.7,4.7,3.2,10.9,6.6,7.5,6.8,40.4,7.2,0.0,2.8,5.1,2.9,0.0,2.8
02,Alaska,AK,02016,Aleutians West Census Area,02016000200,Census Tract 2; Aleutians West Census Area; Alaska,1089.224863365608,4342,148,944,87,796,88,589,138,103,61,97,47,354,100,709,151,246,75,741,94,251,77,32,16,478,145,3395,163,255,60,26,13,96,30,40,22,1258,98,13.7,3.2,3.3,2.0,12.2,5.7,11.1,3.1,16.4,3.6,5.7,1.8,17.1,2.2,5.8,1.8,4.0,2.0,11.5,3.5,78.2,2.6,27.0,5.8,2.8,1.4,12.0,3.5,5.0,2.5,29.0,2.0,0.3943,0.2286,0.1034,0.8514,0.7486,2.3263,0.4195,0.0571,0.1714,0.0514,0.3448,0.9829,1.6076,0.1034,0.8971,0.8971,0.8971,0.931,0.6034,0.8678,0.477,0.9714,3.8506,0.9713,8.6816,0.6149,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,3,4046,175,51,160,166,706,61,2048,194,72,33,183,10,226,98,0,10,22.0,6.6,3.7,3.9,16.3,1.4,47.2,4.5,1.7,0.7,4.2,0.1,5.2,2.2,0.0,0.6
02,Alaska,AK,02020,Anchorage Municipality,02020000101,Census Tract 1.01; Anchorage Municipality; Alaska,618.81510401084,5370,897,2103,234,1753,278,320,251,160,132,120,90,96,84,429,301,610,249,1385,379,911,307,49,53,0,60,1249,1271,0,21,2,4,1,15,46,57,120,12,6.0,4.6,6.4,5.1,6.8,5.0,2.7,2.2,8.1,5.3,11.4,4.5,25.8,5.4,17.2,5.0,2.8,3.0,0.0,1.2,23.3,23.3,0.0,1.0,0.1,0.2,0.1,0.9,2.6,3.3,2.2,0.4,0.0571,0.5657,0.0287,0.1429,0.2514,1.0458,0.0977,0.3543,0.6857,0.84,0.2241,0.0,2.1041,0.2931,0.2343,0.2343,0.2343,0.0,0.1667,0.0575,0.2989,0.5771,1.1002,0.069,4.4844,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2437,121,78,45,57,457,403,14,28,325,306,106,148,302,140,0,15,6.9,4.5,0.8,1.1,8.5,7.6,0.3,0.5,6.1,5.4,2.0,2.8,5.6,2.7,0.0,0.5
02,Alaska,AK,02020,Anchorage Municipality,02020000102,Census Tract 1.02; Anchorage Municipality; Alaska,65.146404743266,4323,697,2012,296,1773,308,686,359,74,97,571,301,173,142,570,311,795,271,791,280,710,276,71,76,0,40,920,957,114,111,166,114,38,47,25,44,26,6,15.9,7.9,3.0,3.8,32.2,16.0,5.4,4.3,13.3,7.0,18.4,5.8,18.3,5.4,16.6,6.2,4.0,4.2,0.0,1.0,21.3,21.9,5.7,5.5,8.3,5.8,2.1,2.6,1.4,2.6,0.6,0.1,0.48,0.1829,0.8391,0.4686,0.5714,2.542,0.4943,0.7886,0.2171,0.7943,0.3448,0.0,2.1448,0.2989,0.1886,0.1886,0.1886,0.6207,0.8621,0.2126,0.1264,0.3257,2.1475,0.3851,7.0229,0.3391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4308,72,103,2,5,29,59,0,10,138,117,0,10,751,242,0,10,4.1,5.8,0.0,0.1,0.7,1.4,0.0,0.6,3.2,2.6,0.0,0.6,17.4,5.8,0.0,0.6
02,Alaska,AK,02020,Anchorage Municipality,02020000201,Census Tract 2.01; Anchorage Municipality; Alaska,1.306192332448,4728,720,1999,268,1924,274,490,245,81,46,612,225,224,168,424,161,353,133,1295,363,494,192,71,65,16,47,1452,861,115,80,0,10,98,56,81,58,1,2,10.4,5.0,4.0,2.3,31.8,10.8,7.6,5.4,10.0,4.0,7.5,2.8,27.4,4.9,11.7,4.4,3.7,3.3,0.4,1.1,30.7,17.6,5.8,3.9,0.0,1.2,5.1,2.8,4.2,3.0,0.0,0.0,0.1943,0.2857,0.8161,0.6686,0.3543,2.319,0.4138,0.0971,0.7714,0.3886,0.3161,0.4229,1.9961,0.2471,0.4114,0.4114,0.4114,0.6322,0.0,0.569,0.4195,0.0,1.6207,0.1954,6.3472,0.2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2783,193,164,120,96,689,382,128,114,158,146,182,219,175,101,0,10,10.0,7.7,2.5,2.1,14.6,6.9,2.7,2.1,3.3,3.2,3.8,4.5,3.7,2.1,0.0,0.5
02,Alaska,AK,02020,Anchorage Municipality,02020000202,Census Tract 2.02; Anchorage Municipality; Alaska,3.55410945071,7097,992,2675,375,2658,363,628,295,33,37,508,201,200,137,507,385,1072,349,1438,308,845,236,119,104,30,73,1887,1346,134,105,56,92,9,21,52,41,23,9,8.9,4.0,0.8,0.9,19.1,7.1,4.1,2.8,7.5,4.9,15.1,4.9,20.3,4.1,12.4,3.8,4.5,3.9,0.4,1.1,26.6,18.6,5.0,3.9,2.1,3.5,0.3,0.8,2.0,1.5,0.3,0.1,0.12,0.0286,0.4425,0.28,0.2114,1.0825,0.1034,0.6114,0.3314,0.4571,0.4368,0.4229,2.2596,0.3506,0.3143,0.3143,0.3143,0.5977,0.5287,0.0632,0.2299,0.2057,1.6252,0.2011,5.2816,0.1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3716,87,56,316,220,640,327,398,210,21,30,0,15,306,193,206,240,3.3,2.2,4.5,3.1,9.0,4.7,5.6,2.7,0.3,0.4,0.0,0.4,4.3,2.7,2.9,3.4
02,Alaska,AK,02020,Anchorage Municipality,02020000204,Census Tract 2.04; Anchorage Municipality; Alaska,197.01031191665,3450,426,1317,202,1178,199,201,139,58,38,68,78,70,37,142,90,328,120,729,133,427,144,10,18,1,38,869,572,0,14,8,13,39,29,51,54,322,79,6.4,4.4,3.4,2.3,5.8,6.5,2.8,1.5,4.7,2.9,9.5,3.4,21.1,2.6,14.3,4.3,0.8,1.5,0.0,1.2,25.2,16.3,0.0,1.1,0.6,1.0,3.4,2.4,4.3,4.6,9.3,2.0,0.0857,0.24,0.0172,0.1486,0.08,0.5715,0.046,0.24,0.3714,0.6343,0.0345,0.0,1.2802,0.0402,0.2914,0.2914,0.2914,0.0,0.2529,0.3506,0.4483,0.8571,1.9089,0.2989,4.052,0.0517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181,58,44,289,341,189,105,0,10,209,158,8,9,174,141,0,10,4.9,3.6,8.4,9.6,5.5,3.2,0.0,0.7,6.1,4.4,0.2,0.3,5.0,3.9,0.0,0.7
02,Alaska,AK,02020,Anchorage Municipality,02020000205,Census Tract 2.05; Anchorage Municipality; Alaska,3.086546492444,7401,881,2606,336,2575,344,210,187,101,91,380,276,63,69,272,188,719,296,2177,485,442,283,55,50,0,60,1549,1286,0,21,0,15,0,21,42,52,0,15,2.8,2.5,3.0,2.8,14.8,10.5,1.3,1.5,3.9,2.7,9.7,3.8,29.4,4.4,6.4,3.9,2.1,1.9,0.0,0.9,20.9,17.2,0.0,0.8,0.0,1.0,0.0,0.8,1.6,2.1,0.0,0.2,0.0171,0.1829,0.2126,0.0514,0.0514,0.5154,0.0287,0.2629,0.84,0.08,0.1437,0.0,1.3266,0.0575,0.1657,0.1657,0.1657,0.0,0.0,0.0,0.1609,0.0,0.1609,0.0057,2.1686,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4196,52,51,23,34,646,232,253,150,11,33,0,15,590,319,26,44,2.0,2.0,0.3,0.5,8.7,3.2,3.4,2.0,0.1,0.4,0.0,0.3,8.0,4.5,0.4,0.6
02,Alaska,AK,02020,Anchorage Municipality,02020000206,Census Tract 2.06; Anchorage Municipality; Alaska,2.599545228988,3137,439,1133,127,1075,80,116,90,45,45,80,77,24,30,66,79,441,161,833,322,390,148,20,32,0,40,496,592,0,14,19,31,16,27,16,26,1,1,3.8,2.9,3.0,3.0,7.4,7.1,1.1,1.3,2.2,2.7,14.1,5.2,26.6,7.5,12.9,4.5,1.9,3.0,0.0,1.4,15.8,18.7,0.0,1.2,1.7,2.7,1.5,2.5,1.5,2.4,0.0,0.0,0.0343,0.1829,0.0345,0.0457,0.0286,0.326,0.0057,0.52,0.7257,0.4971,0.1264,0.0,1.8692,0.1839,0.0686,0.0686,0.0686,0.0,0.454,0.1322,0.1552,0.0,0.7414,0.0287,3.0052,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,45,51,0,10,121,173,23,29,64,82,0,10,288,231,0,10,4.2,4.8,0.0,0.8,3.9,5.5,0.7,0.9,2.0,2.6,0.0,0.8,9.2,6.7,0.0,0.8
02,Alaska,AK,02020,Anchorage Municipality,02020000500,Census Tract 5; Anchorage Municipality; Alaska,1.0446464515459999,1956,496,1046,142,935,156,669,311,87,76,368,143,64,51,235,107,188,78,358,138,296,104,89,61,31,48,945,575,619,181,0,10,60,55,182,113,0,10,34.2,13.3,8.6,7.2,39.4,13.8,4.6,3.9,12.6,6.0,9.6,4.3,18.3,6.5,15.9,6.8,9.5,6.3,1.7,2.6,48.3,26.7,59.1,15.3,0.0,2.4,6.4,5.8,19.5,10.8,0.0,0.5,0.9314,0.7371,0.9425,0.3371,0.5314,3.4795,0.8276,0.2571,0.2171,0.7486,0.8448,0.7543,2.8219,0.7184,0.6971,0.6971,0.6971,0.9943,0.0,0.6897,0.8333,0.0,2.5173,0.523,9.5158,0.7529,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2371,81,52,110,82,216,142,142,112,119,121,11,24,117,69,230,303,8.7,5.4,5.6,4.5,11.0,7.3,7.3,5.6,6.1,6.3,0.6,1.2,6.0,3.7,11.8,13.3
